pl_name,star_id,hostname,pl_rade,pl_bmasse,pl_eqt,pl_eqt_computed,disc_year,discoverymethod,ra,dec,sy_dist,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_pnum
WASP-182 b,902,WASP-182,9.52765,47.03884,1479.0,False,2019,Transit,311.673345,-41.8209828,327.602,3.3769848,0.0451,5638.0,1.34,1.076,0.27,1
WASP-183 b,903,WASP-183,16.47723,159.55066,1111.0,False,2019,Transit,163.7888521,-0.7370663,325.377,4.1117771,0.04632,5313.0,0.871,0.784,-0.31,1
WASP-184 b,904,WASP-184,14.90797,181.1631,1480.0,False,2019,Transit,209.51701,-30.348153,663.231,5.1817,0.0627,6000.0,1.65,1.23,0.12,1
WASP-185 b,905,WASP-185,14.01125,311.4734,1160.0,False,2019,Transit,214.0595791,-19.5423062,279.35,9.38755,0.0904,5900.0,1.5,1.12,-0.02,1
WASP-186 b,906,WASP-186,12.44199,1341.2426,1388.7254764257464,True,2020,Transit,18.9953122,21.6169065,278.514,5.026799,0.06,6361.0,1.47,1.22,-0.08,1
WASP-187 b,907,WASP-187,18.38276,254.264,1785.7460901892491,True,2020,Transit,17.47474,25.6816494,371.414,5.147878,0.0653,6150.0,2.83,1.54,0.0,1
WASP-188 b,908,WASP-188,14.81827249,458.6263913,1666.0,False,2025,Transit,278.7819771,36.6156327,675.281,5.748916,0.072,6850.0,1.83,1.5,0.0,1
WASP-189 b,909,WASP-189,18.14733975,632.47852993,3353.0,False,2020,Transit,225.686732,-3.0314874,99.731,2.724033,0.05053,8000.0,2.36,2.03,0.29,1
WASP-19 b,910,WASP-19,15.86070769,366.77398168,2113.0,False,2009,Transit,148.4167672,-45.6591078,268.325,0.78883852,0.01652,5616.0,1.006,0.965,0.04,1
WASP-190 b,911,WASP-190,12.89035,317.83,1500.0,False,2019,Transit,7.7095292,-40.5734613,542.251,5.367753,0.0663,6400.0,1.6,1.35,-0.02,1
WASP-192 b,912,WASP-192,13.78707,731.009,1620.0,False,2019,Transit,223.6587187,-38.7445469,508.885,2.8786765,0.0408,5910.0,1.32,1.09,0.14,1
WASP-193 b,913,WASP-193,14.78464554,35.59678158,1250.0,False,2023,Transit,164.3491401,-29.9971229,362.087,6.2463475,0.0668,6080.0,1.213,1.018,-0.108,1
WASP-194 b,914,WASP-194,15.47960235,373.13054982,1693.0,False,2025,Transit,295.3877064,56.2178049,476.831,3.183387,0.047,6405.0,1.409,1.29,0.0,1
WASP-195 b,915,WASP-195,10.31226224,33.05415433,1522.0,False,2025,Transit,247.5496427,49.895791,484.852,5.051928,0.063,6300.0,1.578,1.3,0.0,1
WASP-197 b,916,WASP-197,14.44837612,403.32424848,1665.0,False,2025,Transit,160.6307133,28.1986255,483.675,5.167228,0.065,6050.0,2.112,1.36,0.0,1
WASP-2 b,917,WASP-2,12.116929,295.89973,1311.0,False,2007,Transit,307.7255587,6.4293305,153.242,2.152175,0.03144,5180.0,0.866,0.895,0.12,1
WASP-20 b,918,WASP-20,16.388,98.841,1379.0,False,2015,Transit,5.1605621,-23.9357894,211.877,4.8996284,0.06,5940.0,1.392,1.2,-0.008,1
WASP-23 b,919,WASP-23,10.783,280.95,1024.5944266752451,True,2010,Transit,101.1275033,-42.7622296,207.49,2.9444256,0.0376,5150.0,0.765,0.78,-0.05,1
WASP-25 b,920,WASP-25,13.80946422,179.25522155,1217.0,False,2010,Transit,195.3597581,-27.5222273,211.416,3.7648337,,5697.0,0.884,0.962,-0.2,1
WASP-28 b,921,WASP-28,13.66374747,282.54945382,1456.0,False,2014,Transit,353.6162694,-1.5799849,348.494,3.40883495,0.0442,,1.083,0.993,,1
WASP-31 b,922,WASP-31,17.363,151.916,1440.9276432089646,True,2010,Transit,169.4388603,-19.0547781,383.829,3.4059096,0.04659,6302.0,1.252,1.163,-0.2,1
WASP-33 b,923,WASP-33,17.855937,665.21819,2781.7,False,2010,Transit,36.7127375,37.5504441,121.944,1.21987,0.0239,7430.0,1.444,1.495,,1
WASP-36 b,924,WASP-36,14.874343,750.39663,1733.0,False,2011,Transit,131.5803897,-8.0269855,386.346,1.53736596,0.02677,5959.0,0.985,1.081,-0.26,1
WASP-37 b,925,WASP-37,13.002,572.07,1213.162551268632,True,2010,Transit,221.9438866,1.0650227,392.791,3.577469,0.0446,5800.0,1.003,0.925,-0.4,1
WASP-39 b,926,WASP-39,14.336311,89.31023,1166.0,False,2011,Transit,217.3266477,-3.4444994,213.982,4.0552941,0.04828,5485.0,0.939,0.913,0.01,1
WASP-4 b,927,WASP-4,15.12091496,381.3940884,1653.0,False,2007,Transit,353.5629149,-42.0617794,267.206,1.338230994,0.02261,,0.912,0.899,,1
WASP-42 b,928,WASP-42,12.576498,167.49641,1021.0,False,2012,Transit,192.981203,-42.0736165,177.291,4.9816819,0.0561,5315.0,0.892,0.951,0.29,1
WASP-43 b,929,WASP-43,10.424,565.714,1261.5140578989544,True,2011,Transit,154.9081869,-9.8064431,86.7467,0.813475,0.0142,4400.0,0.6,0.58,-0.05,1
WASP-44 b,930,WASP-44,12.3299,276.5121,1337.0,False,2011,Transit,3.9032733,-11.9382645,364.512,2.423804,0.03453,5420.0,0.906,0.935,-0.003,1
WASP-45 b,931,WASP-45,10.603714,306.38812,1153.0,False,2011,Transit,5.2377567,-35.998465,211.196,3.126089,0.03963,5150.0,0.855,0.85,-0.03,1
WASP-46 b,932,WASP-46,13.159366,607.0553,1636.0,False,2011,Transit,318.7370122,-55.8718634,375.31,1.43036763,0.02335,5600.0,0.858,0.828,-0.3,1
WASP-5 b,933,WASP-5,12.184,502.15,1706.0,False,2008,Transit,359.3490277,-41.2772202,309.137,1.6284279,0.0267,5700.0,1.029,0.96,0.09,1
WASP-50 b,934,WASP-50,13.069694,466.828704,1394.84,False,2011,Transit,43.6880738,-10.8980242,184.848,1.9551,0.0293,5400.0,0.843,0.892,,1
WASP-52 b,935,WASP-52,14.24,146.2,1315.0,False,2012,Transit,348.4947931,8.7610793,174.818,1.7497798,0.0272,5000.0,0.79,0.87,0.03,1
WASP-53 b,936,WASP-53,12.038466,677.61356,1053.0,False,2017,Transit,31.9091639,-20.661843,201.338,3.3098443,0.04101,4953.0,0.798,0.839,0.22,2
WASP-55 b,937,WASP-55,14.72860064,186.2474465,1342.0,False,2012,Transit,203.7581951,-17.5034961,297.462,4.465631,,6096.0,1.09,1.071,-0.03,1
WASP-57 b,938,WASP-57,11.76945,204.68252,1338.0,False,2012,Transit,223.8199788,-2.0576866,398.276,2.83891856,0.03769,5600.0,0.927,0.886,-0.25,1
WASP-59 b,939,WASP-59,8.687,274.276,670.0,False,2012,Transit,349.6229547,24.889277,115.936,7.919585,0.0697,4650.0,0.613,0.719,-0.15,1
WASP-6 b,940,WASP-6,12.5428494,148.42586607,1167.0,False,2009,Transit,348.1571282,-22.6741248,197.119,3.3610026,,5438.0,0.79,0.854,-0.15,1
WASP-64 b,941,WASP-64,14.247,403.945,1689.0,False,2012,Transit,101.1149223,-32.8583878,369.926,1.5732918,0.02648,5400.0,1.058,1.004,-0.08,1
WASP-65 b,942,WASP-65,12.464,492.62,1480.0,False,2013,Transit,133.3242982,8.5230171,273.703,2.3114243,0.0334,5600.0,1.01,0.93,-0.07,1
WASP-69 b,943,WASP-69,11.21,82.58,971.0,False,2014,Transit,315.0259661,-5.094857,49.9605,3.86813881,0.0453,4792.0,0.801,0.83,0.35,1
WASP-7 b,944,WASP-7,14.90797,305.1168,1487.0,False,2008,Transit,311.0427558,-39.2254856,162.303,4.9546416,0.0617,6400.0,1.432,1.276,0.0,1
WASP-70 A b,945,WASP-70 A,13.047,187.512,1387.0,False,2014,Transit,315.4771912,-13.4333821,222.355,3.7130203,0.04853,5763.0,1.215,1.106,-0.006,1
WASP-75 b,946,WASP-75,14.235,340.06,1710.0,False,2013,Transit,342.3858995,-10.6754686,294.001,2.484193,0.0375,6100.0,1.26,1.14,0.07,1
WASP-76 b,947,WASP-76,20.78145022,284.13859586,2228.0,False,2016,Transit,26.632936,2.700389,194.459,1.80988198,0.033,6329.0,1.756,1.458,0.366,1
WASP-79 b,948,WASP-79,17.14974047,270.15414595,1716.2,False,2012,Transit,66.3709016,-30.6004362,246.69,3.662392,0.0519,6600.0,1.51,1.39,0.03,1
WASP-80 b,949,WASP-80,11.197791,170.99254,825.0,False,2012,Transit,303.1667996,-2.1444369,49.7876,3.06785234,0.0344,4143.0,0.586,0.577,-0.13,1
WASP-81 b,950,WASP-81,16.017661,231.69807,1623.0,False,2017,Transit,304.2079924,3.2939492,398.505,2.7164762,0.03908,5870.0,1.283,1.08,-0.36,1
WASP-83 b,951,WASP-83,11.65736,95.349,1120.0,False,2015,Transit,190.1519558,-19.2843527,271.103,4.971252,0.059,5510.0,1.05,1.11,0.29,1
